UK-JOBS, DAY, DATE, TIME
10.467 , Thursday , 29.April.2021 , 17.26.20
10.271 , Friday , 30.April.2021 , 17.25.16
8.969 , Monday ,  3.May.2021 , 17.27.25
9.031 , Tuesday ,  4.May.2021 , 17.17.07
9.517 , Wednesday ,  5.May.2021 , 17.20.32
9.996 , Thursday ,  6.May.2021 , 17.23.27
10.198 , Friday ,  7.May.2021 , 17.22.27
10.191 , Monday , 10.May.2021 , 17.24.33
11.836 , Tuesday , 11.May.2021 , 17.25.05
11.093 , Wednesday , 12.May.2021 , 17.30.00
12.673 , Thursday , 13.May.2021 , 17.30.38
12.639 , Friday , 14.May.2021 , 17.30.19
10.980 , Monday , 17.May.2021 , 17.29.43
11.484 , Tuesday , 18.May.2021 , 17.30.53
12.605 , Wednesday , 19.May.2021 , 17.30.15
13.974 , Thursday , 20.May.2021 , 17.31.47
11.318 , Friday , 21.May.2021 , 17.33.54
10.973 , Monday , 24.May.2021 , 17.40.30
12.049 , Tuesday , 25.May.2021 , 17.49.42
12.004 , Wednesday , 26.May.2021 , 18.02.48
12.485 , Thursday , 27.May.2021 , 18.15.23
11.143 , Friday , 28.May.2021 , 18.22.12
9.466 , Monday , 31.May.2021 , 18.49.25
10.492 , Tuesday ,  1.June.2021 , 19.26.53
11.372 , Wednesday ,  2.June.2021 , 19.18.34
9.217 , Thursday ,  3.June.2021 , 19.02.54
10.182 , Friday ,  4.June.2021 , 18.36.31
10.575 , Monday ,  7.June.2021 , 18.53.30
12.638 , Tuesday ,  8.June.2021 , 17.38.56
12.753 , Wednesday ,  9.June.2021 , 17.28.13
11.286 , Thursday , 10.June.2021 , 17.29.11
12.712 , Friday , 11.June.2021 , 17.16.14
12.597 , Monday , 14.June.2021 , 17.14.15
13.051 , Tuesday , 15.June.2021 , 17.18.06
12.492 , Wednesday , 16.June.2021 , 17.16.35
13.044 , Thursday , 17.June.2021 , 17.16.56
12.717 , Friday , 18.June.2021 , 17.15.14
12.079 , Monday , 21.June.2021 , 17.12.01
12.050 , Tuesday , 22.June.2021 , 17.12.01
12.065 , Wednesday , 23.June.2021 , 17.01.50
11.683 , Thursday , 24.June.2021 , 17.04.00
11.624 , Friday , 25.June.2021 , 17.07.48
11.435 , Monday , 28.June.2021 , 17.28.43
12.928 , Tuesday , 29.June.2021 , 17.06.00
12.323 , Wednesday , 30.June.2021 , 17.07.54
13.656 , Thursday ,  1.July.2021 , 17.06.43
14.658 , Friday ,  2.July.2021 , 17.06.29
14.830 , Monday ,  5.July.2021 , 17.04.22
15.200 , Tuesday ,  6.July.2021 , 17.04.20
14.879 , Wednesday ,  7.July.2021 , 17.14.04
14.330 , Thursday ,  8.July.2021 , 17.11.32
14.215 , Friday ,  9.July.2021 , 17.05.53
14.276 , Monday , 12.July.2021 , 17.07.08
13.849 , Tuesday , 13.July.2021 , 17.05.42
14.266 , Wednesday , 14.July.2021 , 17.05.08
13.778 , Thursday , 15.July.2021 , 17.05.04
14.396 , Friday , 16.July.2021 , 17.07.07
14.161 , Monday , 19.July.2021 , 17.05.31
14.099 , Tuesday , 20.July.2021 , 17.05.06
14.252 , Wednesday , 21.July.2021 , 17.06.32
14.506 , Thursday , 22.July.2021 , 17.06.40
14.232 , Friday , 23.July.2021 , 17.05.56
13.145 , Monday , 26.July.2021 , 17.05.50
13.001 , Tuesday , 27.July.2021 , 17.05.22
12.875 , Wednesday , 28.July.2021 , 17.06.27
11.569 , Thursday , 29.July.2021 , 17.05.54
12.011 , Friday , 30.July.2021 , 17.04.24
14.709 , Monday ,  2.August.2021 , 17.05.10
30.953 , Tuesday ,  3.August.2021 , 17.14.45
31.640 , Wednesday ,  4.August.2021 , 17.08.56
30.722 , Thursday ,  5.August.2021 , 17.05.53
31.104 , Friday ,  6.August.2021 , 17.05.12
37.159 , Monday ,  9.August.2021 , 17.04.49
36.841 , Tuesday , 10.August.2021 , 17.05.06
36.700 , Wednesday , 11.August.2021 , 17.04.31
38.707 , Thursday , 12.August.2021 , 17.03.47
38.843 , Friday , 13.August.2021 , 17.03.48
38.175 , Monday , 16.August.2021 , 17.05.23
37.061 , Tuesday , 17.August.2021 , 17.02.20
36.828 , Wednesday , 18.August.2021 , 16.59.30
42.928 , Thursday , 19.August.2021 , 17.04.33
43.584 , Friday , 20.August.2021 , 17.03.38
52.524 , Monday , 23.August.2021 , 17.02.34
52.724 , Tuesday , 24.August.2021 , 17.04.03
52.282 , Wednesday , 25.August.2021 , 17.04.15
48.921 , Thursday , 26.August.2021 , 17.04.30
48.626 , Friday , 27.August.2021 , 17.03.24
45.925 , Monday , 30.August.2021 , 17.03.59
32.528 , Tuesday , 31.August.2021 , 17.03.42
43.784 , Wednesday ,  1.September.2021 , 17.04.59
45.971 , Thursday ,  2.September.2021 , 17.05.30
47.895 , Friday ,  3.September.2021 , 17.03.49
38.956 , Monday ,  6.September.2021 , 17.04.21
39.673 , Tuesday ,  7.September.2021 , 17.04.11
38.677 , Wednesday ,  8.September.2021 , 17.03.58
38.697 , Thursday ,  9.September.2021 , 17.03.24
39.446 , Friday , 10.September.2021 , 17.00.16
37.715 , Monday , 13.September.2021 , 17.02.28
41.903 , Tuesday , 14.September.2021 , 17.02.45
31.084 , Wednesday , 15.September.2021 , 17.00.25
 , Thursday , 16.September.2021 , 17.01.58
53.965 , Friday , 17.September.2021 , 17.03.18
44.068 , Monday , 20.September.2021 , 16.58.31
37.881 , Tuesday , 21.September.2021 , 17.02.51
36.075 , Wednesday , 22.September.2021 , 17.03.16
38.477 , Thursday , 23.September.2021 , 17.01.29
38.618 , Friday , 24.September.2021 , 17.00.30
29.576 , Monday , 27.September.2021 , 17.04.15
34.709 , Tuesday , 28.September.2021 , 17.01.55
36.540 , Wednesday , 29.September.2021 , 17.02.11
35.226 , Thursday , 30.September.2021 , 17.01.51
38.437 , Friday ,  1.October.2021 , 17.02.56
37.541 , Monday ,  4.October.2021 , 17.03.50
35.535 , Tuesday ,  5.October.2021 , 17.02.42
37.205 , Wednesday ,  6.October.2021 , 17.00.20
41.148 , Thursday ,  7.October.2021 , 16.54.41
40.677 , Friday ,  8.October.2021 , 17.03.03
47.488 , Monday , 11.October.2021 , 17.02.13
45.979 , Tuesday , 12.October.2021 , 17.02.00
47.617 , Wednesday , 13.October.2021 , 17.01.59
51.499 , Thursday , 14.October.2021 , 17.02.07
51.636 , Friday , 15.October.2021 , 17.02.11
49.221 , Monday , 18.October.2021 , 17.04.02
50.210 , Tuesday , 19.October.2021 , 17.02.14
49.978 , Wednesday , 20.October.2021 , 17.02.59
47.268 , Thursday , 21.October.2021 , 17.09.39
46.038 , Friday , 22.October.2021 , 17.02.54
52.180 , Monday , 25.October.2021 , 17.02.24
50.110 , Tuesday , 26.October.2021 , 17.02.28
48.350 , Wednesday , 27.October.2021 , 17.02.37
54.244 , Thursday , 28.October.2021 , 17.02.41
57.861 , Friday , 29.October.2021 , 17.00.58
46.943 , Monday ,  1.November.2021 , 17.04.47
56.852 , Tuesday ,  2.November.2021 , 17.03.25
59.098 , Wednesday ,  3.November.2021 , 17.03.32
57.766 , Thursday ,  4.November.2021 , 17.02.38
55.606 , Friday ,  5.November.2021 , 17.02.43
48.094 , Monday ,  8.November.2021 , 17.04.28
46.301 , Tuesday ,  9.November.2021 , 17.04.11
35.036 , Wednesday , 10.November.2021 , 16.58.16
40.465 , Thursday , 11.November.2021 , 17.03.34
44.570 , Friday , 12.November.2021 , 17.03.03
43.134 , Monday , 15.November.2021 , 17.03.42
41.472 , Tuesday , 16.November.2021 , 16.54.33
41.490 , Wednesday , 17.November.2021 , 16.59.43
41.490 , Thursday , 18.November.2021 , 17.03.19
41.490 , Friday , 19.November.2021 , 17.01.47
41.490 , Monday , 22.November.2021 , 17.04.41
43.871 , Tuesday , 23.November.2021 , 17.02.28
41.425 , Wednesday , 24.November.2021 , 17.03.44
43.187 , Thursday , 25.November.2021 , 17.03.16
48.451 , Friday , 26.November.2021 , 17.03.04
50.851 , Monday , 29.November.2021 , 17.05.29
33.044 , Tuesday , 30.November.2021 , 17.03.38
37.182 , Wednesday ,  1.December.2021 , 17.04.57
50.432 , Thursday ,  2.December.2021 , 17.03.55
49.512 , Friday ,  3.December.2021 , 17.04.02
48.712 , Monday ,  6.December.2021 , 16.56.00
47.411 , Tuesday ,  7.December.2021 , 17.06.39
47.786 , Wednesday ,  8.December.2021 , 17.04.25
51.118 , Thursday ,  9.December.2021 , 17.04.52
49.598 , Friday , 10.December.2021 , 17.04.11
49.606 , Monday , 13.December.2021 , 17.02.53
51.161 , Tuesday , 14.December.2021 , 17.04.12
49.606 , Wednesday , 15.December.2021 , 17.04.03
50.445 , Thursday , 16.December.2021 , 17.05.36
50.348 , Friday , 17.December.2021 , 17.02.45
48.688 , Monday , 20.December.2021 , 17.06.51
47.344 , Tuesday , 21.December.2021 , 17.06.13
46.288 , Wednesday , 22.December.2021 , 17.06.44
46.273 , Thursday , 23.December.2021 , 17.05.33
45.189 , Friday , 24.December.2021 , 17.04.52
32.932 , Monday , 27.December.2021 , 17.05.17
30.353 , Tuesday , 28.December.2021 , 17.05.27
27.593 , Wednesday , 29.December.2021 , 17.05.24
25.284 , Thursday , 30.December.2021 , 17.05.28
22.036 , Friday , 31.December.2021 , 17.04.54
42.102 , Monday ,  3.January.2022 , 17.06.52
43.597 , Tuesday ,  4.January.2022 , 17.06.28
42.344 , Wednesday ,  5.January.2022 , 17.07.08
44.218 , Thursday ,  6.January.2022 , 17.06.59
45.133 , Friday ,  7.January.2022 , 17.06.45
47.103 , Monday , 10.January.2022 , 17.07.26
49.325 , Tuesday , 11.January.2022 , 17.06.55
49.764 , Wednesday , 12.January.2022 , 17.04.09
48.652 , Thursday , 13.January.2022 , 17.08.01
48.656 , Friday , 14.January.2022 , 17.04.51
49.944 , Monday , 17.January.2022 , 17.07.10
49.718 , Tuesday , 18.January.2022 , 17.07.42
50.477 , Wednesday , 19.January.2022 , 17.00.49
50.148 , Thursday , 20.January.2022 , 17.00.27
50.848 , Friday , 21.January.2022 , 16.59.31
52.170 , Monday , 24.January.2022 , 17.00.50
51.644 , Tuesday , 25.January.2022 , 17.00.12
50.624 , Wednesday , 26.January.2022 , 16.59.32
49.969 , Thursday , 27.January.2022 , 16.59.57
50.047 , Friday , 28.January.2022 , 16.58.59
32.693 , Monday , 31.January.2022 , 16.55.40
44.351 , Tuesday ,  1.February.2022 , 17.00.11
52.218 , Wednesday ,  2.February.2022 , 16.59.00
51.401 , Thursday ,  3.February.2022 , 16.59.18
52.513 , Friday ,  4.February.2022 , 16.50.25
52.291 , Monday ,  7.February.2022 , 16.59.16
53.343 , Tuesday ,  8.February.2022 , 16.58.13
52.220 , Wednesday ,  9.February.2022 , 16.59.33
52.668 , Thursday , 10.February.2022 , 16.57.13
51.589 , Friday , 11.February.2022 , 16.52.28
51.306 , Monday , 14.February.2022 , 16.55.15
52.134 , Tuesday , 15.February.2022 , 16.54.06
51.817 , Wednesday , 16.February.2022 , 16.56.59
52.738 , Thursday , 17.February.2022 , 16.57.43
52.696 , Friday , 18.February.2022 , 16.56.53
51.305 , Monday , 21.February.2022 , 16.56.52
49.964 , Tuesday , 22.February.2022 , 16.57.51
48.785 , Wednesday , 23.February.2022 , 16.58.54
48.397 , Thursday , 24.February.2022 , 16.58.42
49.504 , Friday , 25.February.2022 , 16.57.10
47.207 , Monday , 28.February.2022 , 16.59.10
47.863 , Tuesday ,  1.March.2022 , 16.57.56
50.717 , Wednesday ,  2.March.2022 , 16.57.42
49.041 , Thursday ,  3.March.2022 , 16.58.53
52.749 , Friday ,  4.March.2022 , 16.58.04
50.448 , Monday ,  7.March.2022 , 17.04.40
49.833 , Tuesday ,  8.March.2022 , 16.58.46
49.058 , Wednesday ,  9.March.2022 , 16.58.28
48.410 , Thursday , 10.March.2022 , 16.58.34
48.450 , Friday , 11.March.2022 , 16.58.57
48.345 , Monday , 14.March.2022 , 16.58.37
47.626 , Tuesday , 15.March.2022 , 16.58.28
48.625 , Wednesday , 16.March.2022 , 16.58.22
48.922 , Thursday , 17.March.2022 , 16.58.36
49.996 , Friday , 18.March.2022 , 16.59.05
50.284 , Monday , 21.March.2022 , 16.59.24
51.091 , Tuesday , 22.March.2022 , 17.04.24
49.599 , Wednesday , 23.March.2022 , 16.58.09
48.239 , Thursday , 24.March.2022 , 17.01.53
47.755 , Friday , 25.March.2022 , 16.59.50
47.676 , Monday , 28.March.2022 , 16.59.16
48.699 , Tuesday , 29.March.2022 , 16.59.11
46.912 , Wednesday , 30.March.2022 , 16.56.01
40.531 , Thursday , 31.March.2022 , 16.59.59
30.040 , Friday ,  1.April.2022 , 17.01.26
31.319 , Monday ,  4.April.2022 , 17.01.53
32.833 , Tuesday ,  5.April.2022 , 17.00.21
32.627 , Wednesday ,  6.April.2022 , 16.59.21
39.803 , Thursday ,  7.April.2022 , 16.59.13
51.444 , Friday ,  8.April.2022 , 17.00.54
55.609 , Monday , 11.April.2022 , 17.01.19
55.105 , Tuesday , 12.April.2022 , 17.00.21
55.500 , Wednesday , 13.April.2022 , 17.00.59
56.719 , Thursday , 14.April.2022 , 17.01.45
56.435 , Friday , 15.April.2022 , 17.01.23
53.899 , Monday , 18.April.2022 , 17.02.27
53.330 , Tuesday , 19.April.2022 , 17.04.52
40.767 , Wednesday , 20.April.2022 , 17.06.16
38.015 , Thursday , 21.April.2022 , 17.06.01
45.967 , Friday , 22.April.2022 , 17.05.03
46.423 , Monday , 25.April.2022 , 17.02.20
46.613 , Tuesday , 26.April.2022 , 17.03.22
48.290 , Wednesday , 27.April.2022 , 17.05.35
46.894 , Thursday , 28.April.2022 , 17.01.52
43.803 , Friday , 29.April.2022 , 17.02.03
39.063 , Monday ,  2.May.2022 , 17.04.12
52.398 , Tuesday ,  3.May.2022 , 17.06.55
55.043 , Wednesday ,  4.May.2022 , 17.06.26
55.024 , Thursday ,  5.May.2022 , 17.04.48
55.801 , Friday ,  6.May.2022 , 17.04.22
55.153 , Monday ,  9.May.2022 , 17.06.05
56.052 , Tuesday , 10.May.2022 , 17.09.32
56.635 , Wednesday , 11.May.2022 , 17.09.03
56.412 , Thursday , 12.May.2022 , 17.07.04
55.322 , Friday , 13.May.2022 , 17.06.32
56.026 , Monday , 16.May.2022 , 17.04.53
56.052 , Tuesday , 17.May.2022 , 17.09.35
55.637 , Wednesday , 18.May.2022 , 17.05.01
53.665 , Thursday , 19.May.2022 , 17.32.09
54.688 , Friday , 20.May.2022 , 17.02.57
38.381 , Monday , 23.May.2022 , 17.02.02
45.176 , Tuesday , 24.May.2022 , 17.03.23
42.491 , Wednesday , 25.May.2022 , 17.04.19
51.069 , Thursday , 26.May.2022 , 17.03.48
49.469 , Friday , 27.May.2022 , 17.03.00
46.458 , Monday , 30.May.2022 , 17.03.07
23.711 , Tuesday , 31.May.2022 , 17.07.27
39.333 , Wednesday ,  1.June.2022 , 17.10.39
53.633 , Thursday ,  2.June.2022 , 17.07.06
52.947 , Friday ,  3.June.2022 , 16.59.23
52.826 , Monday ,  6.June.2022 , 17.01.21
52.553 , Tuesday ,  7.June.2022 , 17.01.59
53.488 , Wednesday ,  8.June.2022 , 16.58.48
55.036 , Thursday ,  9.June.2022 , 17.01.53
55.699 , Friday , 10.June.2022 , 17.01.18
45.149 , Monday , 13.June.2022 , 17.02.42
50.373 , Tuesday , 14.June.2022 , 17.00.42
54.296 , Wednesday , 15.June.2022 , 16.58.57
33.366 , Thursday , 16.June.2022 , 17.00.57
46.545 , Friday , 17.June.2022 , 16.59.03
55.473 , Monday , 20.June.2022 , 17.02.18
55.585 , Tuesday , 21.June.2022 , 17.14.16
55.142 , Wednesday , 22.June.2022 , 17.02.20
54.233 , Thursday , 23.June.2022 , 17.02.04
54.545 , Friday , 24.June.2022 , 17.01.45
51.335 , Monday , 27.June.2022 , 17.03.55
51.547 , Tuesday , 28.June.2022 , 17.05.43
53.615 , Wednesday , 29.June.2022 , 17.26.53
32.997 , Thursday , 30.June.2022 , 17.06.38
46.388 , Friday ,  1.July.2022 , 17.04.52
52.375 , Monday ,  4.July.2022 , 17.01.24
53.654 , Tuesday ,  5.July.2022 , 17.05.16
52.534 , Wednesday ,  6.July.2022 , 17.02.55
52.243 , Thursday ,  7.July.2022 , 17.06.27
29.273 , Friday ,  8.July.2022 , 17.06.39
50.928 , Monday , 11.July.2022 , 17.06.45
47.540 , Tuesday , 12.July.2022 , 17.02.26
52.525 , Wednesday , 13.July.2022 , 17.04.20
52.534 , Thursday , 14.July.2022 , 17.06.54
51.379 , Friday , 15.July.2022 , 17.04.28
49.681 , Monday , 18.July.2022 , 17.04.02
48.894 , Tuesday , 19.July.2022 , 17.07.29
51.135 , Wednesday , 20.July.2022 , 17.03.26
49.798 , Thursday , 21.July.2022 , 17.00.07
51.460 , Friday , 22.July.2022 , 17.10.21
50.078 , Monday , 25.July.2022 , 17.02.09
52.127 , Tuesday , 26.July.2022 , 17.00.07
52.674 , Wednesday , 27.July.2022 , 17.04.55
53.178 , Thursday , 28.July.2022 , 17.07.12
32.053 , Friday , 29.July.2022 , 17.00.59
43.580 , Monday ,  1.August.2022 , 17.04.52
55.222 , Tuesday ,  2.August.2022 , 17.05.13
55.126 , Wednesday ,  3.August.2022 , 17.00.27
54.942 , Thursday ,  4.August.2022 , 17.04.08
53.527 , Friday ,  5.August.2022 , 17.05.01
54.454 , Monday ,  8.August.2022 , 17.01.46
54.535 , Tuesday ,  9.August.2022 , 17.00.42
54.246 , Wednesday , 10.August.2022 , 17.04.47
51.479 , Thursday , 11.August.2022 , 17.00.00
54.475 , Friday , 12.August.2022 , 17.05.45
55.111 , Monday , 15.August.2022 , 17.04.38
56.133 , Tuesday , 16.August.2022 , 17.01.07
55.945 , Wednesday , 17.August.2022 , 17.05.32
56.554 , Thursday , 18.August.2022 , 17.20.17
56.472 , Friday , 19.August.2022 , 17.04.37
29.924 , Monday , 22.August.2022 , 16.59.51
35.051 , Tuesday , 23.August.2022 , 17.00.44
35.051 , Wednesday , 24.August.2022 , 16.58.44
35.051 , Thursday , 25.August.2022 , 17.01.15
35.051 , Friday , 26.August.2022 , 17.01.46
31.921 , Monday , 29.August.2022 , 17.02.03
24.452 , Tuesday , 30.August.2022 , 17.04.24
25.823 , Wednesday , 31.August.2022 , 17.02.20
42.171 , Thursday ,  1.September.2022 , 17.03.16
56.020 , Friday ,  2.September.2022 , 17.02.46
55.615 , Monday ,  5.September.2022 , 17.02.26
55.734 , Tuesday ,  6.September.2022 , 17.04.11
56.533 , Wednesday ,  7.September.2022 , 17.05.41
56.556 , Thursday ,  8.September.2022 , 17.14.30
56.064 , Friday ,  9.September.2022 , 17.05.17
59.559 , Monday , 12.September.2022 , 17.10.41
62.436 , Tuesday , 13.September.2022 , 17.06.38
62.044 , Wednesday , 14.September.2022 , 17.10.03
62.280 , Thursday , 15.September.2022 , 17.05.01
61.501 , Friday , 16.September.2022 , 17.18.23
62.448 , Monday , 19.September.2022 , 17.14.27
62.604 , Tuesday , 20.September.2022 , 17.06.10
60.666 , Wednesday , 21.September.2022 , 17.17.41
59.161 , Thursday , 22.September.2022 , 17.14.15
60.303 , Friday , 23.September.2022 , 17.15.25
63.827 , Monday , 26.September.2022 , 17.09.10
62.317 , Tuesday , 27.September.2022 , 17.19.26
61.786 , Wednesday , 28.September.2022 , 17.21.29
58.827 , Thursday , 29.September.2022 , 17.20.22
16.585 , Friday , 30.September.2022 , 17.19.34
47.922 , Monday ,  3.October.2022 , 17.23.20
59.275 , Tuesday ,  4.October.2022 , 17.21.26
63.331 , Wednesday ,  5.October.2022 , 17.30.18
62.060 , Thursday ,  6.October.2022 , 17.15.56
61.492 , Friday ,  7.October.2022 , 17.20.24
55.553 , Monday , 10.October.2022 , 17.21.54
52.393 , Tuesday , 11.October.2022 , 17.14.59
59.684 , Wednesday , 12.October.2022 , 17.26.02
60.818 , Thursday , 13.October.2022 , 17.23.14
61.136 , Friday , 14.October.2022 , 17.15.22
64.830 , Monday , 17.October.2022 , 17.26.27
64.490 , Tuesday , 18.October.2022 , 17.22.03
62.246 , Wednesday , 19.October.2022 , 17.28.35
57.063 , Thursday , 20.October.2022 , 17.22.54
57.146 , Friday , 21.October.2022 , 17.17.00
63.275 , Monday , 24.October.2022 , 17.18.51
64.441 , Tuesday , 25.October.2022 , 16.58.13
51.590 , Wednesday , 26.October.2022 , 16.52.05
53.611 , Thursday , 27.October.2022 , 16.52.51
55.575 , Friday , 28.October.2022 , 16.51.01
61.120 , Monday , 31.October.2022 , 16.55.08
60.166 , Tuesday ,  1.November.2022 , 16.53.06
62.219 , Wednesday ,  2.November.2022 , 16.54.48
60.475 , Thursday ,  3.November.2022 , 16.52.01
62.201 , Friday ,  4.November.2022 , 16.50.41
70.661 , Monday ,  7.November.2022 , 16.50.22
71.624 , Tuesday ,  8.November.2022 , 16.53.40
70.166 , Wednesday ,  9.November.2022 , 16.51.09
67.469 , Thursday , 10.November.2022 , 16.50.34
66.557 , Friday , 11.November.2022 , 16.50.04
73.637 , Monday , 14.November.2022 , 16.52.17
72.337 , Tuesday , 15.November.2022 , 16.49.32
69.410 , Wednesday , 16.November.2022 , 16.48.14
67.549 , Thursday , 17.November.2022 , 16.49.48
66.644 , Friday , 18.November.2022 , 16.48.29
66.893 , Monday , 21.November.2022 , 16.49.42
63.829 , Tuesday , 22.November.2022 , 16.49.13
65.049 , Wednesday , 23.November.2022 , 16.47.23
50.908 , Thursday , 24.November.2022 , 16.47.04
54.139 , Friday , 25.November.2022 , 16.47.08
47.898 , Monday , 28.November.2022 , 16.44.53
42.785 , Tuesday , 29.November.2022 , 16.47.41
40.693 , Wednesday , 30.November.2022 , 16.47.44
41.055 , Thursday ,  1.December.2022 , 16.48.22
45.319 , Friday ,  2.December.2022 , 16.46.03
60.822 , Monday ,  5.December.2022 , 16.46.40
60.257 , Tuesday ,  6.December.2022 , 16.46.42
56.322 , Wednesday ,  7.December.2022 , 16.46.50
55.257 , Thursday ,  8.December.2022 , 16.46.14
52.975 , Friday ,  9.December.2022 , 16.46.19
51.487 , Monday , 12.December.2022 , 16.47.28
50.113 , Tuesday , 13.December.2022 , 16.46.47
